Station,Latitude,Longitude,geometry
13262099999,44٫55,19٫2333333,POINT (19.2333333 44.55)
13266099999,45٫1,19٫55,POINT (19.55 45.1)
13269099999,44٫3166666,19٫9166666,POINT (19.9166666 44.3166666)
13272099999,44٫818444,20٫309139,POINT (20.309139 44.818444)
13274099999,44٫8,20٫4666666,POINT (20.4666666 44.8)
13279099999,44٫3666666,20٫95,POINT (20.95 44.3666666)
13285099999,44٫75,21٫5166666,POINT (21.5166666 44.75)
13289099999,44٫1166666,21٫95,POINT (21.95 44.1166666)
13295099999,44٫2333333,22٫55,POINT (22.55 44.2333333)
13348099999,43٫2829,17٫845878,POINT (17.845878 43.2829)
13353099999,43٫824583,18٫331467,POINT (18.331467 43.824583)
13363099999,43٫35,19٫35,POINT (19.35 43.35)
13367099999,43٫7333333,19٫7166666,POINT (19.7166666 43.7333333)
13369099999,43٫2833333,20,POINT (20 43.2833333)
13370099999,43٫8333333,20٫0333333,POINT (20.0333333 43.8333333)
13376099999,43٫7,20٫7,POINT (20.7 43.7)
13378099999,43٫2833333,20٫8,POINT (20.8 43.2833333)
13383099999,43٫5666666,21٫35,POINT (21.35 43.5666666)
13384099999,43٫9333333,21٫3833333,POINT (21.3833333 43.9333333)
13388099999,43٫337289,21٫853722,POINT (21.853722 43.337289)
13389099999,42٫9833333,21٫95,POINT (21.95 42.9833333)
13397099999,43٫0166666,22٫75,POINT (22.75 43.0166666)
13457099999,42٫404664,18٫723286,POINT (18.723286 42.404664)
13459099999,42٫7666666,18٫95,POINT (18.95 42.7666666)
13461099999,42٫1,19٫1,POINT (19.1 42.1)
13462099999,42٫3666666,19٫25,POINT (19.25 42.3666666)
13462499999,42٫4333333,19٫2833333,POINT (19.2833333 42.4333333)
1347099999,61٫156111,7٫136614,POINT (7.136614 61.156111)
13489099999,42٫55,21٫9166666,POINT (21.9166666 42.55)
13493099999,42٫2,22٫3333333,POINT (22.3333333 42.2)
13577099999,41٫5333333,20٫7,POINT (20.7 41.5333333)
13578099999,41٫179956,20٫742325,POINT (20.742325 41.179956)
13583099999,41٫05,21٫3666666,POINT (21.3666666 41.05)
13585099999,41٫3333333,21٫5666666,POINT (21.5666666 41.3333333)
13586099999,41٫961622,21٫621381,POINT (21.621381 41.961622)
13591099999,41٫75,22٫1833333,POINT (22.1833333 41.75)
13592099999,41٫4166666,22٫25,POINT (22.25 41.4166666)
13598099999,41٫7166666,22٫85,POINT (22.85 41.7166666)
1360099999,61٫9,7٫9,POINT (7.9 61.9)
13615099999,41٫414742,19٫720561,POINT (19.720561 41.414742)
1367099999,60٫9833333,9٫2166666,POINT (9.2166666 60.9833333)
1368099999,61٫015556,9٫288056,POINT (9.288056 61.015556)
1374099999,60٫9333333,10٫0333333,POINT (10.0333333 60.9333333)
1375599999,61٫0333333,2٫0333333,POINT (2.0333333 61.0333333)
1380099999,61٫65,10٫1166666,POINT (10.1166666 61.65)
1384099999,60٫193917,11٫100361,POINT (11.100361 60.193917)
1389099999,61٫1833333,11٫3666666,POINT (11.3666666 61.1833333)
1400099999,56٫55,3٫2166666,POINT (3.2166666 56.55)
14008099999,46٫3833333,13٫85,POINT (13.85 46.3833333)
14014099999,46٫223686,14٫457611,POINT (14.457611 46.223686)
14015099999,46٫0666666,14٫5166666,POINT (14.5166666 46.0666666)
14023099999,46٫2333333,15٫2333333,POINT (15.2333333 46.2333333)
14024099999,46٫0666666,15٫2833333,POINT (15.2833333 46.0666666)
14026099999,46٫479861,15٫686131,POINT (15.686131 46.479861)
1403099999,59٫3,4٫8666666,POINT (4.8666666 59.3)
14031099999,46٫65,16٫2,POINT (16.2 46.65)
1403399999,56٫55,3٫25,POINT (3.25 56.55)
1406099999,59٫9166666,5٫0666666,POINT (5.0666666 59.9166666)
1408099999,59٫345267,5٫208364,POINT (5.208364 59.345267)
14105099999,45٫473353,13٫614978,POINT (13.614978 45.473353)
14106099999,45٫9,13٫6333333,POINT (13.6333333 45.9)
14121099999,45٫8,15٫1833333,POINT (15.1833333 45.8)
1415099999,58٫876667,5٫637778,POINT (5.637778 58.876667)
14216099999,45٫3333333,14٫45,POINT (14.45 45.3333333)
14219099999,45٫6,14٫6333333,POINT (14.6333333 45.6)
14232099999,45٫5,15٫5666666,POINT (15.5666666 45.5)
14234099999,46٫1333333,15٫8833333,POINT (15.8833333 46.1333333)
14235099999,45٫9166666,15٫9666666,POINT (15.9666666 45.9166666)
14236099999,45٫8,15٫9666666,POINT (15.9666666 45.8)
14240099999,45٫8166667,16٫0333333,POINT (16.0333333 45.8166667)
1424099999,59٫65,6٫3666666,POINT (6.3666666 59.65)
14241099999,45٫742931,16٫068778,POINT (16.068778 45.742931)
14244099999,45٫5,16٫3666666,POINT (16.3666666 45.5)
14246099999,46٫294724,16٫38125,POINT (16.38125 46.294724)
1425099999,58٫5166666,6٫5166666,POINT (6.5166666 58.5166666)
14253099999,45٫9166666,16٫8666666,POINT (16.8666666 45.9166666)
14256099999,45٫8833333,17٫2,POINT (17.2 45.8833333)
14258099999,45٫6,17٫2333333,POINT (17.2333333 45.6)
1427099999,58٫1166666,6٫5666666,POINT (6.5666666 58.1166666)
14307099999,44٫893533,13٫922192,POINT (13.922192 44.893533)
14308099999,45٫2333333,13٫9333333,POINT (13.9333333 45.2333333)
14314099999,44٫5333333,14٫4833333,POINT (14.4833333 44.5333333)
14321099999,44٫75,14٫7666666,POINT (14.7666666 44.75)
14323099999,45,14٫9,POINT (14.9 45)
14324099999,44٫8166666,14٫9833333,POINT (14.9833333 44.8166666)
14328099999,45٫2666666,15٫2333333,POINT (15.2333333 45.2666666)
14330099999,44٫55,15٫3666666,POINT (15.3666666 44.55)
1436099999,57٫9833333,7٫05,POINT (7.05 57.9833333)
14370099999,45٫1666667,18,POINT (18 45.1666667)
14382099999,45٫15,18٫7,POINT (18.7 45.15)
1442099999,58٫6666666,7٫8,POINT (7.8 58.6666666)
14428099999,44٫1333333,15٫2166666,POINT (15.2166666 44.1333333)
14431099999,44٫108269,15٫346697,POINT (15.346697 44.108269)
14438099999,43٫7333333,15٫9166666,POINT (15.9166666 43.7333333)
14441099999,43٫05,16٫1,POINT (16.1 43.05)
14443099999,42٫4,16٫2666666,POINT (16.2666666 42.4)
14444099999,43٫538944,16٫297964,POINT (16.297964 43.538944)
14445099999,43٫5166666,16٫4333333,POINT (16.4333333 43.5166666)
14447099999,43٫1666667,16٫45,POINT (16.45 43.1666667)
14454099999,43٫2833333,17٫0166666,POINT (17.0166666 43.2833333)
14462099999,43٫05,17٫45,POINT (17.45 43.05)
14472099999,42٫65,18٫0833333,POINT (18.0833333 42.65)
14474099999,42٫561353,18٫268244,POINT (18.268244 42.561353)
1448099999,58٫0666666,8٫05,POINT (8.05 58.0666666)
